number,title,score,platform,release_date,web_page
1,Tengami,9.7,Wii U,"November 13, 2014",https://www.metacritic.com/game/wii-u/tengami
2,Rochard,9.7,PlayStation 3,"September 27, 2011",https://www.metacritic.com/game/playstation-3/rochard
3,Ghost Trick: Phantom Detective,9.7,DS,"January 11, 2011",https://www.metacritic.com/game/ds/ghost-trick-phantom-detective
4,Z.H.P. Unlosing Ranger vs Darkdeath Evilman,9.7,PSP,"October 25, 2010",https://www.metacritic.com/game/psp/zhp-unlosing-ranger-vs-darkdeath-evilman
5,Metal Torrent,9.7,DS,"May 24, 2010",https://www.metacritic.com/game/ds/metal-torrent
6,After Burner Climax,9.7,Xbox 360,"April 21, 2010",https://www.metacritic.com/game/xbox-360/after-burner-climax
7,GrimGrimoire,9.7,PlayStation 2,"June 26, 2007",https://www.metacritic.com/game/playstation-2/grimgrimoire
8,Superliminal,9.6,Xbox One,"July 7, 2020",https://www.metacritic.com/game/xbox-one/superliminal
9,Superliminal,9.6,Switch,"July 7, 2020",https://www.metacritic.com/game/switch/superliminal
10,Crystar,9.6,PlayStation 4,"August 27, 2019",https://www.metacritic.com/game/playstation-4/crystar
11,Diaries of a Spaceport Janitor,9.6,PC,"September 16, 2016",https://www.metacritic.com/game/pc/diaries-of-a-spaceport-janitor
12,The Witcher 3: Wild Hunt,9.4,PC,"May 18, 2015",https://www.metacritic.com/game/pc/the-witcher-3-wild-hunt
13,Astro's Playroom,9.3,PlayStation 5,"November 12, 2020",https://www.metacritic.com/game/playstation-5/astros-playroom
14,The Witcher 3: Wild Hunt - Blood and Wine,9.3,PC,"May 30, 2016",https://www.metacritic.com/game/pc/the-witcher-3-wild-hunt---blood-and-wine
15,The Orange Box,9.3,PC,"October 10, 2007",https://www.metacritic.com/game/pc/the-orange-box
16,Tales of Arise,9.2,PlayStation 5,"September 10, 2021",https://www.metacritic.com/game/playstation-5/tales-of-arise
17,It Takes Two,9.2,PlayStation 5,"March 26, 2021",https://www.metacritic.com/game/playstation-5/it-takes-two
18,Half-Life: Alyx,9.2,PC,"March 23, 2020",https://www.metacritic.com/game/pc/half-life-alyx
19,God of War,9.2,PlayStation 4,"April 20, 2018",https://www.metacritic.com/game/playstation-4/god-of-war
20,The Witcher 3: Wild Hunt,9.2,PlayStation 4,"May 19, 2015",https://www.metacritic.com/game/playstation-4/the-witcher-3-wild-hunt
21,The Witcher 3: Wild Hunt,9.2,Xbox One,"May 19, 2015",https://www.metacritic.com/game/xbox-one/the-witcher-3-wild-hunt
22,The Last of Us Remastered,9.2,PlayStation 4,"July 29, 2014",https://www.metacritic.com/game/playstation-4/the-last-of-us-remastered
23,The Last of Us,9.2,PlayStation 3,"June 14, 2013",https://www.metacritic.com/game/playstation-3/the-last-of-us
24,Vanquish,9.2,Xbox 360,"October 19, 2010",https://www.metacritic.com/game/xbox-360/vanquish
25,Pokemon SoulSilver Version,9.2,DS,"March 14, 2010",https://www.metacritic.com/game/ds/pokemon-soulsilver-version
26,Half-Life 2: Episode Two,9.2,PC,"October 10, 2007",https://www.metacritic.com/game/pc/half-life-2-episode-two
